id,key,value,type
114940878,exit_to,Alajuela,regular
114940878,highway,motorway_junction,regular
114940878,name,Salida Alajuela,regular
114940955,exit_to,111 de Plaza Real Cariari,regular
114940955,highway,motorway_junction,regular
114940955,name,111,regular
115577985,highway,traffic_signals,regular
115583761,highway,traffic_signals,regular
115583761,source,KG Ground Survey 2014,regular
115583765,highway,traffic_signals,regular
115583765,traffic_signals,signal,regular
115583921,highway,traffic_signals,regular
115583926,highway,traffic_signals,regular
115583926,source,KG Ground Survey 2014,regular
115585926,highway,traffic_signals,regular
115585926,traffic_signals,signal,regular
115585929,highway,traffic_signals,regular
115585931,highway,traffic_signals,regular
115585939,highway,traffic_signals,regular
115585943,crossing,traffic_signals,regular
115585943,highway,crossing,regular
115585944,highway,traffic_signals,regular
115585944,source,KG Ground Survey 2015,regular
115585946,highway,traffic_signals,regular
115585946,traffic_signals,signal,regular
115641809,exit_to,Escazú o  CN 105 o  CN 167,regular
115641809,highway,motorway_junction,regular
115641809,name,Exit Escazú,regular
115643804,highway,traffic_signals,regular
115643808,highway,traffic_signals,regular
115643808,traffic_signals,signal,regular
115646797,highway,traffic_signals,regular
115646797,source,KG Ground Survey 2014,regular
115646801,highway,traffic_signals,regular
115646801,traffic_signals,signal,regular
115646807,highway,traffic_signals,regular
127946129,highway,traffic_signals,regular
127946136,highway,traffic_signals,regular
127946136,source,KG Ground Survey 2014,regular
127950046,highway,traffic_signals,regular
127950046,source,KG Ground Survey 2014,regular
127951570,highway,traffic_signals,regular
127951570,traffic_signals,signal,regular
163348341,highway,traffic_signals,regular
163348366,highway,traffic_signals,regular
163357125,highway,mini_roundabout,regular
163365877,highway,traffic_signals,regular
163365877,traffic_signals,signal,regular
163365887,highway,traffic_signals,regular
163365887,traffic_signals,signal,regular
163367511,highway,traffic_signals,regular
163367511,source,KG Ground Survey 2014,regular
163367566,highway,traffic_signals,regular
163371320,highway,traffic_signals,regular
163371320,source,KG Ground Survey 2014,regular
163371321,highway,traffic_signals,regular
163371321,source,KG Ground Survey 2014,regular
163373497,highway,traffic_signals,regular
163373497,source,KG Ground Survey 2014,regular
163373511,highway,traffic_signals,regular
163373511,source,KG Ground Survey 2014,regular
163410965,barrier,toll_booth,regular
163410968,exit_to,Tres Ríos,regular
163410968,highway,motorway_junction,regular
163769755,highway,stop,regular
163773066,highway,traffic_signals,regular
163773066,name,Semáforo Intersección Tirrases -Curridabat,regular
163773066,traffic_signals,signal,regular
163786537,highway,traffic_signals,regular
163786537,traffic_signals,signal,regular
163786539,highway,traffic_signals,regular
163786539,traffic_signals,signal,regular
163787143,highway,traffic_signals,regular
163787145,highway,stop,regular
163787145,stop,minor,regular
163788722,highway,stop,regular
163788722,stop,minor,regular
163788725,highway,stop,regular
163788725,stop,minor,regular
163788727,highway,stop,regular
163788740,highway,stop,regular
163788741,highway,stop,regular
163788743,highway,stop,regular
163790980,highway,stop,regular
163791375,highway,stop,regular
