id,user,uid,version,changeset,timestamp
12569965,joserrg12,1104904,7,27899547,2015-01-03T23:06:04Z
12569970,vogtgbr,44547,6,25736325,2014-09-28T22:55:27Z
12569980,vogtgbr,44547,4,25736325,2014-09-28T22:55:27Z
12569981,vogtgbr,44547,5,25736325,2014-09-28T22:55:27Z
12570014,dcoreamuno,1695369,3,17160001,2013-07-31T04:01:45Z
12570043,BlueSombra,3242620,22,36366447,2016-01-04T18:54:19Z
12570074,vogtgbr,44547,14,35520460,2015-11-23T00:27:44Z
12576140,recinutah,3231510,7,36596124,2016-01-15T15:49:55Z
12576166,mtspinelli,3304633,12,35439477,2015-11-19T16:23:03Z
12576199,mtspinelli,3304633,9,35439477,2015-11-19T16:23:04Z
12576213,Canyonsrcool,126508,11,35112861,2015-11-05T21:44:57Z
12576247,Canyonsrcool,126508,14,35112861,2015-11-05T21:44:57Z
12576284,esbarquero90,2189317,10,30763924,2015-05-04T00:27:20Z
12576302,lishkin,3237116,10,35288586,2015-11-13T16:54:57Z
12576347,lishkin,3237116,14,35288586,2015-11-13T16:54:57Z
12577719,joserrg12,1104904,8,27899569,2015-01-03T23:07:04Z
12577746,Gijsrooy,143643,10,11167495,2012-03-31T15:22:30Z
12577827,Gijsrooy,143643,6,11167495,2012-03-31T15:22:29Z
12577839,vogtgbr,44547,6,17082976,2013-07-25T02:34:50Z
12577951,Gijsrooy,143643,3,11167495,2012-03-31T15:16:47Z
12578275,Gijsrooy,143643,5,11167495,2012-03-31T15:27:19Z
12578743,vogtgbr,44547,3,2114457,2009-08-12T04:54:44Z
12579144,Canyonsrcool,126508,14,37091951,2016-02-08T23:40:42Z
12657481,joserrg12,1104904,20,46062542,2017-02-13T21:37:51Z
12657630,joserrg12,1104904,12,34125882,2015-09-19T17:58:51Z
12657791,joserrg12,1104904,8,20197754,2014-01-25T18:11:45Z
12657804,joserrg12,1104904,7,37649233,2016-03-06T17:16:18Z
12657836,joserrg12,1104904,7,37649233,2016-03-06T17:16:18Z
12657850,mtspinelli,3304633,5,35421914,2015-11-18T22:20:00Z
12657861,joserrg12,1104904,7,37649233,2016-03-06T17:16:19Z
12657876,joserrg12,1104904,10,37649233,2016-03-06T17:16:18Z
12657973,mtspinelli,3304633,29,35439477,2015-11-19T16:23:05Z
12658410,joserrg12,1104904,32,42766785,2016-10-10T01:50:32Z
12658461,BlueSombra,3242620,19,36252055,2015-12-29T22:25:05Z
12665250,joserrg12,1104904,7,47263925,2017-03-29T15:46:36Z
12665809,BlueSombra,3242620,13,36408318,2016-01-06T17:07:11Z
12665899,BlueSombra,3242620,15,36540948,2016-01-12T23:53:31Z
12666041,joserrg12,1104904,6,47264408,2017-03-29T16:03:36Z
12666053,joserrg12,1104904,2,20189540,2014-01-25T08:07:11Z
12666270,joserrg12,1104904,17,39443353,2016-05-20T07:01:14Z
12666319,joserrg12,1104904,5,33560566,2015-08-25T01:39:36Z
13774544,recinutah,3231510,17,35060023,2015-11-03T16:41:40Z
13774562,joserrg12,1104904,7,47263925,2017-03-29T15:46:36Z
13774626,BlueSombra,3242620,13,36252515,2015-12-29T22:57:09Z
13774684,joserrg12,1104904,10,20189105,2014-01-25T07:22:01Z
13774692,recinutah,3231510,14,35061888,2015-11-03T18:05:16Z
13774882,mtspinelli,3304633,10,35421914,2015-11-18T22:20:00Z
13775216,joserrg12,1104904,3,20189540,2014-01-25T08:07:08Z
13775222,joserrg12,1104904,3,20189540,2014-01-25T08:07:09Z
13775224,joserrg12,1104904,8,37649233,2016-03-06T17:16:15Z
13775229,joserrg12,1104904,3,20189540,2014-01-25T08:07:09Z
13779631,joserrg12,1104904,5,37649233,2016-03-06T17:16:16Z
13779657,mtspinelli,3304633,6,35418126,2015-11-18T20:01:20Z
13779663,joserrg12,1104904,3,20189540,2014-01-25T08:07:08Z
13779756,joserrg12,1104904,4,20189540,2014-01-25T08:07:07Z
13839091,BlueSombra,3242620,13,36229356,2015-12-28T20:54:19Z
16158531,BlueSombra,3242620,5,36436086,2016-01-07T23:37:14Z
16158542,lishkin,3237116,11,35362465,2015-11-16T21:42:00Z
16158567,lishkin,3237116,4,35419839,2015-11-18T20:56:15Z
16158581,vogtgbr,44547,8,35644835,2015-11-29T12:09:09Z
16158587,joserrg12,1104904,3,20744481,2014-02-24T04:27:52Z
16158604,vogtgbr,44547,12,35566297,2015-11-25T08:38:46Z
16158606,joserrg12,1104904,3,20744481,2014-02-24T04:27:51Z
16158609,joserrg12,1104904,2,20744481,2014-02-24T04:27:51Z
16158612,esbarquero90,2189317,11,33733585,2015-09-01T17:23:11Z
16158809,joserrg12,1104904,16,37649514,2016-03-06T17:31:01Z
16158818,joserrg12,1104904,15,37649514,2016-03-06T17:30:59Z
16158830,joserrg12,1104904,4,20764265,2014-02-25T06:22:03Z
16158858,joserrg12,1104904,13,39702182,2016-06-01T04:48:00Z
16158886,mtspinelli,3304633,11,35387185,2015-11-17T20:02:42Z
16158888,joserrg12,1104904,8,39611325,2016-05-27T19:10:32Z
16158892,joserrg12,1104904,11,39104135,2016-05-04T19:19:06Z
16158954,joserrg12,1104904,12,38863515,2016-04-25T18:00:53Z
16159040,joserrg12,1104904,47,39443353,2016-05-20T07:01:22Z
16159086,roirobo,463462,21,50470842,2017-07-21T22:27:42Z
16160423,Canyonsrcool,126508,17,35094349,2015-11-05T05:26:31Z
16160429,BlueSombra,3242620,8,36884509,2016-01-29T18:05:28Z
16177535,sctrojan79,2601744,17,47162985,2017-03-25T21:21:16Z
16177675,Jorge_Chinchilla,4778080,10,43183252,2016-10-26T06:38:07Z
16178224,BlueSombra,3242620,7,36884509,2016-01-29T18:05:28Z
16178239,BlueSombra,3242620,8,36884509,2016-01-29T18:05:28Z
16178278,mtspinelli,3304633,11,36825068,2016-01-26T20:42:56Z
16178423,Jorge_Chinchilla,4778080,9,43414655,2016-11-05T05:03:36Z
16178444,Jorge_Chinchilla,4778080,16,43414655,2016-11-05T05:03:35Z
16178448,Jorge_Chinchilla,4778080,7,43414655,2016-11-05T05:03:36Z
16178488,BlueSombra,3242620,12,36451656,2016-01-08T19:26:29Z
16178532,Aleiva,5249728,18,45959160,2017-02-09T22:25:13Z
16178558,mtspinelli,3304633,13,36825068,2016-01-26T20:42:57Z
16179132,joserrg12,1104904,9,32620873,2015-07-14T07:50:53Z
16181603,recinutah,3231510,14,35289136,2015-11-13T17:23:46Z
16181670,BlueSombra,3242620,11,36883668,2016-01-29T17:21:07Z
16181738,Canyonsrcool,126508,8,35772526,2015-12-05T17:03:35Z
16188770,joserrg12,1104904,13,39321763,2016-05-14T22:29:00Z
16324954,Rodolfo Quesada,86865,9,14850072,2013-01-30T17:21:33Z
16335554,devdelgado,110117,27,36017797,2015-12-17T21:21:11Z
16335577,BlueSombra,3242620,10,36408318,2016-01-06T17:07:10Z
16335717,SaraW,3424135,11,36513753,2016-01-11T21:30:01Z
16336065,BlueSombra,3242620,11,36408318,2016-01-06T17:07:11Z
16336140,lishkin,3237116,11,35274329,2015-11-12T23:47:17Z
16336237,BlueSombra,3242620,7,36408318,2016-01-06T17:07:10Z
16337041,BlueSombra,3242620,12,36554927,2016-01-13T17:50:04Z
16347636,joserrg12,1104904,38,50338200,2017-07-17T02:13:20Z
16348119,lishkin,3237116,20,35274329,2015-11-12T23:47:17Z
16348383,nife0222,3776481,19,38303217,2016-04-04T21:30:14Z
16348563,joserrg12,1104904,16,50338200,2017-07-17T02:13:20Z
16348605,joserrg12,1104904,2,50338200,2017-07-17T02:13:20Z
16348624,karitotp,2748195,6,50395232,2017-07-19T05:34:04Z
16348650,joserrg12,1104904,5,44689364,2016-12-26T19:25:50Z
